"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,120.73,1,0,0.01,0,5e-05
0.014062,6.0184e-11,2.9903e-10,120.73,1,1e-07,0.01,1e-07,5e-05
0.028124,1.2037e-10,5.9806e-10,120.73,1,2e-07,0.01,2e-07,5e-05
0.042187,1.8055e-10,8.9709e-10,120.73,1,3e-07,0.01,3e-07,5e-05
0.056249,2.4074e-10,1.1961e-09,120.73,1,4e-07,0.01,4e-07,5e-05
0.070311,3.0092e-10,1.4951e-09,120.73,1,5e-07,0.01,5e-07,5e-05
0.084373,3.611e-10,1.7942e-09,120.73,1,6e-07,0.01,6e-07,5e-05
0.098436,4.2129e-10,2.0932e-09,120.73,1,7e-07,0.01,7e-07,5e-05
0.1125,4.8147e-10,2.3922e-09,120.73,1,8e-07,0.01,8e-07,5e-05
0.12656,5.4166e-10,2.6913e-09,120.73,1,9e-07,0.01,9e-07,5e-05
0.14062,6.0184e-10,2.9903e-09,120.73,1,1e-06,0.01,1e-06,5e-05
0.15468,6.6202e-10,3.2893e-09,120.73,1,1.1e-06,0.01,1.1e-06,5e-05
0.16875,7.2221e-10,3.5883e-09,120.73,1,1.2e-06,0.01,1.2e-06,5e-05
0.18281,7.8239e-10,3.8874e-09,120.73,1,1.3e-06,0.01,1.3e-06,5e-05
0.19687,8.4257e-10,4.1864e-09,120.73,1,1.4e-06,0.01,1.4e-06,5e-05
0.21093,9.0276e-10,4.4854e-09,120.73,1,1.5e-06,0.01,1.5e-06,5e-05
0.225,9.6294e-10,4.7845e-09,120.73,1,1.6e-06,0.01,1.6e-06,5e-05
0.23906,1.0231e-09,5.0835e-09,120.73,1,1.7e-06,0.01,1.7e-06,5e-05
0.25312,1.0833e-09,5.3825e-09,120.73,1,1.8e-06,0.01,1.8e-06,5e-05
0.26718,1.1435e-09,5.6815e-09,120.73,1,1.9e-06,0.01,1.9e-06,5e-05
0.28124,1.2037e-09,5.9806e-09,120.73,1,2e-06,0.01,2e-06,5e-05
0.29531,1.2639e-09,6.2796e-09,120.73,1,2.1e-06,0.01,2.1e-06,5e-05
0.30937,1.324e-09,6.5786e-09,120.73,1,2.2e-06,0.01,2.2e-06,5e-05
0.32343,1.3842e-09,6.8777e-09,120.73,1,2.3e-06,0.01,2.3e-06,5e-05
0.33749,1.4444e-09,7.1767e-09,120.73,1,2.4e-06,0.01,2.4e-06,5e-05
0.35156,1.5046e-09,7.4757e-09,120.73,1,2.5e-06,0.01,2.5e-06,5e-05
0.36562,1.5648e-09,7.7748e-09,120.73,1,2.6e-06,0.01,2.6e-06,5e-05
0.37968,1.625e-09,8.0738e-09,120.73,1,2.7e-06,0.01,2.7e-06,5e-05
0.39374,1.6851e-09,8.3728e-09,120.73,1,2.8e-06,0.01,2.8e-06,5e-05
0.4078,1.7453e-09,8.6718e-09,120.73,1,2.9e-06,0.01,2.9e-06,5e-05
0.42187,1.8055e-09,8.9709e-09,120.73,1,3e-06,0.01,3e-06,5e-05
