"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,45.701,1,0,0.01,0,5e-05
0.013174,8.3533e-11,4.1299e-11,45.701,1,1e-07,0.01,1e-07,5e-05
0.026349,1.6707e-10,8.2597e-11,45.701,1,2e-07,0.01,2e-07,5e-05
0.039523,2.506e-10,1.239e-10,45.701,1,3e-07,0.01,3e-07,5e-05
0.052698,3.3413e-10,1.6519e-10,45.701,1,4e-07,0.01,4e-07,5e-05
0.065872,4.1767e-10,2.0649e-10,45.701,1,5e-07,0.01,5e-07,5e-05
0.079047,5.012e-10,2.4779e-10,45.701,1,6e-07,0.01,6e-07,5e-05
0.092221,5.8473e-10,2.8909e-10,45.701,1,7e-07,0.01,7e-07,5e-05
0.1054,6.6827e-10,3.3039e-10,45.701,1,8e-07,0.01,8e-07,5e-05
0.11857,7.518e-10,3.7169e-10,45.701,1,9e-07,0.01,9e-07,5e-05
0.13174,8.3533e-10,4.1299e-10,45.701,1,1e-06,0.01,1e-06,5e-05
0.14492,9.1887e-10,4.5428e-10,45.701,1,1.1e-06,0.01,1.1e-06,5e-05
0.15809,1.0024e-09,4.9558e-10,45.701,1,1.2e-06,0.01,1.2e-06,5e-05
0.17127,1.0859e-09,5.3688e-10,45.701,1,1.3e-06,0.01,1.3e-06,5e-05
0.18444,1.1695e-09,5.7818e-10,45.701,1,1.4e-06,0.01,1.4e-06,5e-05
0.19762,1.253e-09,6.1948e-10,45.701,1,1.5e-06,0.01,1.5e-06,5e-05
0.21079,1.3365e-09,6.6078e-10,45.701,1,1.6e-06,0.01,1.6e-06,5e-05
0.22397,1.4201e-09,7.0208e-10,45.701,1,1.7e-06,0.01,1.7e-06,5e-05
0.23714,1.5036e-09,7.4337e-10,45.701,1,1.8e-06,0.01,1.8e-06,5e-05
0.25031,1.5871e-09,7.8467e-10,45.701,1,1.9e-06,0.01,1.9e-06,5e-05
0.26349,1.6707e-09,8.2597e-10,45.701,1,2e-06,0.01,2e-06,5e-05
0.27666,1.7542e-09,8.6727e-10,45.701,1,2.1e-06,0.01,2.1e-06,5e-05
0.28984,1.8377e-09,9.0857e-10,45.701,1,2.2e-06,0.01,2.2e-06,5e-05
0.30301,1.9213e-09,9.4987e-10,45.701,1,2.3e-06,0.01,2.3e-06,5e-05
0.31619,2.0048e-09,9.9117e-10,45.701,1,2.4e-06,0.01,2.4e-06,5e-05
0.32936,2.0883e-09,1.0325e-09,45.701,1,2.5e-06,0.01,2.5e-06,5e-05
0.34254,2.1719e-09,1.0738e-09,45.701,1,2.6e-06,0.01,2.6e-06,5e-05
0.35571,2.2554e-09,1.1151e-09,45.701,1,2.7e-06,0.01,2.7e-06,5e-05
0.36889,2.3389e-09,1.1564e-09,45.701,1,2.8e-06,0.01,2.8e-06,5e-05
0.38206,2.4225e-09,1.1977e-09,45.701,1,2.9e-06,0.01,2.9e-06,5e-05
0.39523,2.506e-09,1.239e-09,45.701,1,3e-06,0.01,3e-06,5e-05
0.40841,2.5895e-09,1.2803e-09,45.701,1,3.1e-06,0.01,3.1e-06,5e-05
0.42158,2.6731e-09,1.3216e-09,45.701,1,3.2e-06,0.01,3.2e-06,5e-05
0.43476,2.7566e-09,1.3629e-09,45.701,1,3.3e-06,0.01,3.3e-06,5e-05
0.44793,2.8401e-09,1.4042e-09,45.701,1,3.4e-06,0.01,3.4e-06,5e-05
0.46111,2.9237e-09,1.4455e-09,45.701,1,3.5e-06,0.01,3.5e-06,5e-05
0.47428,3.0072e-09,1.4867e-09,45.701,1,3.6e-06,0.01,3.6e-06,5e-05
0.48746,3.0907e-09,1.528e-09,45.701,1,3.7e-06,0.01,3.7e-06,5e-05
0.50063,3.1743e-09,1.5693e-09,45.701,1,3.8e-06,0.01,3.8e-06,5e-05
0.5138,3.2578e-09,1.6106e-09,45.701,1,3.9e-06,0.01,3.9e-06,5e-05
0.52698,3.3413e-09,1.6519e-09,45.701,1,4e-06,0.01,4e-06,5e-05
0.54015,3.4249e-09,1.6932e-09,45.701,1,4.1e-06,0.01,4.1e-06,5e-05
0.55333,3.5084e-09,1.7345e-09,45.701,1,4.2e-06,0.01,4.2e-06,5e-05
0.5665,3.5919e-09,1.7758e-09,45.701,1,4.3e-06,0.01,4.3e-06,5e-05
0.57968,3.6755e-09,1.8171e-09,45.701,1,4.4e-06,0.01,4.4e-06,5e-05
0.59285,3.759e-09,1.8584e-09,45.701,1,4.5e-06,0.01,4.5e-06,5e-05
0.60603,3.8425e-09,1.8997e-09,45.701,1,4.6e-06,0.01,4.6e-06,5e-05
0.6192,3.9261e-09,1.941e-09,45.701,1,4.7e-06,0.01,4.7e-06,5e-05
0.63237,4.0096e-09,1.9823e-09,45.701,1,4.8e-06,0.01,4.8e-06,5e-05
0.64555,4.0931e-09,2.0236e-09,45.701,1,4.9e-06,0.01,4.9e-06,5e-05
0.65872,4.1767e-09,2.0649e-09,45.701,1,5e-06,0.01,5e-06,5e-05
0.6719,4.2602e-09,2.1062e-09,45.701,1,5.1e-06,0.01,5.1e-06,5e-05
0.68507,4.3437e-09,2.1475e-09,45.701,1,5.2e-06,0.01,5.2e-06,5e-05
0.69825,4.4273e-09,2.1888e-09,45.701,1,5.3e-06,0.01,5.3e-06,5e-05
0.71142,4.5108e-09,2.2301e-09,45.701,1,5.4e-06,0.01,5.4e-06,5e-05
0.7246,4.5943e-09,2.2714e-09,45.701,1,5.5e-06,0.01,5.5e-06,5e-05
0.73777,4.6779e-09,2.3127e-09,45.701,1,5.6e-06,0.01,5.6e-06,5e-05
0.75094,4.7614e-09,2.354e-09,45.701,1,5.7e-06,0.01,5.7e-06,5e-05
0.76412,4.8449e-09,2.3953e-09,45.701,1,5.8e-06,0.01,5.8e-06,5e-05
0.77729,4.9285e-09,2.4366e-09,45.701,1,5.9e-06,0.01,5.9e-06,5e-05
0.79047,5.012e-09,2.4779e-09,45.701,1,6e-06,0.01,6e-06,5e-05
0.80364,5.0955e-09,2.5192e-09,45.701,1,6.1e-06,0.01,6.1e-06,5e-05
0.81682,5.1791e-09,2.5605e-09,45.701,1,6.2e-06,0.01,6.2e-06,5e-05
0.82999,5.2626e-09,2.6018e-09,45.701,1,6.3e-06,0.01,6.3e-06,5e-05
0.84317,5.3461e-09,2.6431e-09,45.701,1,6.4e-06,0.01,6.4e-06,5e-05
0.85634,5.4297e-09,2.6844e-09,45.701,1,6.5e-06,0.01,6.5e-06,5e-05
0.86951,5.5132e-09,2.7257e-09,45.701,1,6.6e-06,0.01,6.6e-06,5e-05
0.88269,5.5967e-09,2.767e-09,45.701,1,6.7e-06,0.01,6.7e-06,5e-05
0.89586,5.6803e-09,2.8083e-09,45.701,1,6.8e-06,0.01,6.8e-06,5e-05
0.90904,5.7638e-09,2.8496e-09,45.701,1,6.9e-06,0.01,6.9e-06,5e-05
0.92221,5.8473e-09,2.8909e-09,45.701,1,7e-06,0.01,7e-06,5e-05
0.93539,5.9309e-09,2.9322e-09,45.701,1,7.1e-06,0.01,7.1e-06,5e-05
0.94856,6.0144e-09,2.9735e-09,45.701,1,7.2e-06,0.01,7.2e-06,5e-05
0.96174,6.0979e-09,3.0148e-09,45.701,1,7.3e-06,0.01,7.3e-06,5e-05
0.97491,6.1815e-09,3.0561e-09,45.701,1,7.4e-06,0.01,7.4e-06,5e-05
0.98809,6.265e-09,3.0974e-09,45.701,1,7.5e-06,0.01,7.5e-06,5e-05
1.0013,6.3485e-09,3.1387e-09,45.701,1,7.6e-06,0.01,7.6e-06,5e-05
1.0144,6.4321e-09,3.18e-09,45.701,1,7.7e-06,0.01,7.7e-06,5e-05
1.0276,6.5156e-09,3.2213e-09,45.701,1,7.8e-06,0.01,7.8e-06,5e-05
1.0408,6.5991e-09,3.2626e-09,45.701,1,7.9e-06,0.01,7.9e-06,5e-05
1.054,6.6827e-09,3.3039e-09,45.701,1,8e-06,0.01,8e-06,5e-05
1.0671,6.7662e-09,3.3452e-09,45.701,1,8.1e-06,0.01,8.1e-06,5e-05
1.0803,6.8497e-09,3.3865e-09,45.701,1,8.2e-06,0.01,8.2e-06,5e-05
1.0935,6.9333e-09,3.4278e-09,45.701,1,8.3e-06,0.01,8.3e-06,5e-05
1.1067,7.0168e-09,3.4691e-09,45.701,1,8.4e-06,0.01,8.4e-06,5e-05
1.1198,7.1003e-09,3.5104e-09,45.701,1,8.5e-06,0.01,8.5e-06,5e-05
1.133,7.1839e-09,3.5517e-09,45.701,1,8.6e-06,0.01,8.6e-06,5e-05
1.1462,7.2674e-09,3.593e-09,45.701,1,8.7e-06,0.01,8.7e-06,5e-05
1.1594,7.3509e-09,3.6343e-09,45.701,1,8.8e-06,0.01,8.8e-06,5e-05
1.1725,7.4345e-09,3.6756e-09,45.701,1,8.9e-06,0.01,8.9e-06,5e-05
1.1857,7.518e-09,3.7169e-09,45.701,1,9e-06,0.01,9e-06,5e-05
1.1989,7.6015e-09,3.7582e-09,45.701,1,9.1e-06,0.01,9.1e-06,5e-05
1.2121,7.6851e-09,3.7995e-09,45.701,1,9.2e-06,0.01,9.2e-06,5e-05
1.2252,7.7686e-09,3.8408e-09,45.701,1,9.3e-06,0.01,9.3e-06,5e-05
1.2384,7.8521e-09,3.8821e-09,45.701,1,9.4e-06,0.01,9.4e-06,5e-05
1.2516,7.9357e-09,3.9234e-09,45.701,1,9.5e-06,0.01,9.5e-06,5e-05
1.2647,8.0192e-09,3.9647e-09,45.701,1,9.6e-06,0.01,9.6e-06,5e-05
1.2779,8.1027e-09,4.006e-09,45.701,1,9.7e-06,0.01,9.7e-06,5e-05
1.2911,8.1863e-09,4.0473e-09,45.701,1,9.8e-06,0.01,9.8e-06,5e-05
1.3043,8.2698e-09,4.0886e-09,45.701,1,9.9e-06,0.01,9.9e-06,5e-05
1.3174,8.3533e-09,4.1299e-09,45.701,1,1e-05,0.01,1e-05,5e-05
1.3268,8.1824e-09,4.0624e-09,45.701,1,1.01e-05,0.01,1.01e-05,5e-05
1.3362,8.0114e-09,3.9949e-09,45.701,1,1.02e-05,0.01,1.02e-05,5e-05
1.3455,7.8404e-09,3.9274e-09,45.701,1,1.03e-05,0.01,1.03e-05,5e-05
1.3549,7.6694e-09,3.8599e-09,45.701,1,1.04e-05,0.01,1.04e-05,5e-05
1.3643,7.4984e-09,3.7924e-09,45.701,1,1.05e-05,0.01,1.05e-05,5e-05
1.3736,7.3275e-09,3.725e-09,45.701,1,1.06e-05,0.01,1.06e-05,5e-05
1.383,7.1565e-09,3.6575e-09,45.701,1,1.07e-05,0.01,1.07e-05,5e-05
1.3923,6.9855e-09,3.59e-09,45.701,1,1.08e-05,0.01,1.08e-05,5e-05
1.4017,6.8145e-09,3.5225e-09,45.701,1,1.09e-05,0.01,1.09e-05,5e-05
1.4111,6.6435e-09,3.455e-09,45.701,1,1.1e-05,0.01,1.1e-05,5e-05
1.4204,6.4726e-09,3.3875e-09,45.701,1,1.11e-05,0.01,1.11e-05,5e-05
1.4298,6.3016e-09,3.32e-09,45.701,1,1.12e-05,0.01,1.12e-05,5e-05
1.4392,6.1306e-09,3.2526e-09,45.701,1,1.13e-05,0.01,1.13e-05,5e-05
1.4485,5.9596e-09,3.1851e-09,45.701,1,1.14e-05,0.01,1.14e-05,5e-05
1.4579,5.7886e-09,3.1176e-09,45.701,1,1.15e-05,0.01,1.15e-05,5e-05
1.4672,5.6177e-09,3.0501e-09,45.701,1,1.16e-05,0.01,1.16e-05,5e-05
1.4766,5.4467e-09,2.9826e-09,45.701,1,1.17e-05,0.01,1.17e-05,5e-05
1.486,5.2757e-09,2.9151e-09,45.701,1,1.18e-05,0.01,1.18e-05,5e-05
1.4953,5.1047e-09,2.8477e-09,45.701,1,1.19e-05,0.01,1.19e-05,5e-05
1.5047,4.9337e-09,2.7802e-09,45.701,1,1.2e-05,0.01,1.2e-05,5e-05
1.5141,4.7628e-09,2.7127e-09,45.701,1,1.21e-05,0.01,1.21e-05,5e-05
1.5234,4.5918e-09,2.6452e-09,45.701,1,1.22e-05,0.01,1.22e-05,5e-05
1.5328,4.4208e-09,2.5777e-09,45.701,1,1.23e-05,0.01,1.23e-05,5e-05
1.5421,4.2498e-09,2.5102e-09,45.701,1,1.24e-05,0.01,1.24e-05,5e-05
1.5515,4.0788e-09,2.4427e-09,45.701,1,1.25e-05,0.01,1.25e-05,5e-05
1.5609,3.9079e-09,2.3753e-09,45.701,1,1.26e-05,0.01,1.26e-05,5e-05
1.5702,3.7369e-09,2.3078e-09,45.701,1,1.27e-05,0.01,1.27e-05,5e-05
1.5796,3.5659e-09,2.2403e-09,45.701,1,1.28e-05,0.01,1.28e-05,5e-05
1.5889,3.3949e-09,2.1728e-09,45.701,1,1.29e-05,0.01,1.29e-05,5e-05
1.5983,3.2239e-09,2.1053e-09,45.701,1,1.3e-05,0.01,1.3e-05,5e-05
1.6077,3.053e-09,2.0378e-09,45.701,1,1.31e-05,0.01,1.31e-05,5e-05
1.617,2.882e-09,1.9704e-09,45.701,1,1.32e-05,0.01,1.32e-05,5e-05
1.6264,2.711e-09,1.9029e-09,45.701,1,1.33e-05,0.01,1.33e-05,5e-05
1.6358,2.54e-09,1.8354e-09,45.701,1,1.34e-05,0.01,1.34e-05,5e-05
1.6451,2.369e-09,1.7679e-09,45.701,1,1.35e-05,0.01,1.35e-05,5e-05
1.6545,2.1981e-09,1.7004e-09,45.701,1,1.36e-05,0.01,1.36e-05,5e-05
