"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.046526,1,0,0.01,0,5e-06
3.5481e-06,9.7519e-14,7.7204e-14,0.046526,1,1.3793e-07,0.01,1e-07,5.095e-06
7.2285e-06,1.9868e-13,1.5729e-13,0.046526,1,2.7586e-07,0.01,2e-07,5.19e-06
1.1041e-05,3.0347e-13,2.4025e-13,0.046526,1,4.1379e-07,0.01,3e-07,5.285e-06
1.4986e-05,4.119e-13,3.2609e-13,0.046526,1,5.5172e-07,0.01,4e-07,5.38e-06
1.9063e-05,5.2396e-13,4.1481e-13,0.046526,1,6.8966e-07,0.01,5e-07,5.475e-06
2.3273e-05,6.3967e-13,5.0641e-13,0.046526,1,8.2759e-07,0.01,6e-07,5.57e-06
2.7615e-05,7.59e-13,6.0089e-13,0.046526,1,9.6552e-07,0.01,7e-07,5.665e-06
3.2089e-05,8.8198e-13,6.9825e-13,0.046526,1,1.1034e-06,0.01,8e-07,5.76e-06
3.6696e-05,1.0086e-12,7.9849e-13,0.046526,1,1.2414e-06,0.01,9e-07,5.855e-06
4.1435e-05,1.1388e-12,9.016e-13,0.046526,1,1.3793e-06,0.01,1e-06,5.95e-06
4.6306e-05,1.2727e-12,1.0076e-12,0.046526,1,1.5172e-06,0.01,1.1e-06,6.045e-06
5.131e-05,1.4102e-12,1.1165e-12,0.046526,1,1.6552e-06,0.01,1.2e-06,6.14e-06
5.6445e-05,1.5514e-12,1.2282e-12,0.046526,1,1.7931e-06,0.01,1.3e-06,6.235e-06
6.1713e-05,1.6962e-12,1.3429e-12,0.046526,1,1.931e-06,0.01,1.4e-06,6.33e-06
6.7114e-05,1.8446e-12,1.4604e-12,0.046526,1,2.069e-06,0.01,1.5e-06,6.425e-06
7.2647e-05,1.9967e-12,1.5808e-12,0.046526,1,2.2069e-06,0.01,1.6e-06,6.52e-06
7.8312e-05,2.1524e-12,1.704e-12,0.046526,1,2.3448e-06,0.01,1.7e-06,6.615e-06
8.4109e-05,2.3118e-12,1.8302e-12,0.046526,1,2.4828e-06,0.01,1.8e-06,6.71e-06
9.0039e-05,2.4747e-12,1.9592e-12,0.046526,1,2.6207e-06,0.01,1.9e-06,6.805e-06
9.6101e-05,2.6413e-12,2.0911e-12,0.046526,1,2.7586e-06,0.01,2e-06,6.9e-06
0.0001023,2.8116e-12,2.2259e-12,0.046526,1,2.8966e-06,0.01,2.1e-06,6.995e-06
0.00010862,2.9855e-12,2.3636e-12,0.046526,1,3.0345e-06,0.01,2.2e-06,7.09e-06
0.00011486,3.1521e-12,2.5218e-12,0.046526,1,3.1724e-06,0.01,2.3e-06,7.185e-06
0.00012091,3.3072e-12,2.7075e-12,0.046526,1,3.3103e-06,0.01,2.4e-06,7.28e-06
0.00012705,3.4638e-12,2.8996e-12,0.046526,1,3.4483e-06,0.01,2.5e-06,7.375e-06
0.00013327,3.6219e-12,3.0981e-12,0.046526,1,3.5862e-06,0.01,2.6e-06,7.47e-06
0.00013959,3.7815e-12,3.3029e-12,0.046526,1,3.7241e-06,0.01,2.7e-06,7.565e-06
0.00014599,3.9427e-12,3.514e-12,0.046526,1,3.8621e-06,0.01,2.8e-06,7.66e-06
0.00015248,4.1053e-12,3.7315e-12,0.046526,1,4e-06,0.01,2.9e-06,7.755e-06
0.00015906,4.2694e-12,3.9553e-12,0.046526,1,4.1379e-06,0.01,3e-06,7.85e-06
0.00016573,4.435e-12,4.1855e-12,0.046526,1,4.2759e-06,0.01,3.1e-06,7.945e-06
0.00017249,4.6021e-12,4.422e-12,0.046526,1,4.4138e-06,0.01,3.2e-06,8.04e-06
0.00017933,4.7708e-12,4.6648e-12,0.046526,1,4.5517e-06,0.01,3.3e-06,8.135e-06
0.00018626,4.9409e-12,4.914e-12,0.046526,1,4.6897e-06,0.01,3.4e-06,8.23e-06
0.00019328,5.1125e-12,5.1695e-12,0.046526,1,4.8276e-06,0.01,3.5e-06,8.325e-06
0.00020039,5.2857e-12,5.4314e-12,0.046526,1,4.9655e-06,0.01,3.6e-06,8.42e-06
0.00020759,5.4603e-12,5.6996e-12,0.046526,1,5.1035e-06,0.01,3.7e-06,8.515e-06
0.00021487,5.6365e-12,5.9742e-12,0.046526,1,5.2414e-06,0.01,3.8e-06,8.61e-06
0.00022225,5.8141e-12,6.2551e-12,0.046526,1,5.3793e-06,0.01,3.9e-06,8.705e-06
0.00022971,5.9933e-12,6.5423e-12,0.046526,1,5.5172e-06,0.01,4e-06,8.8e-06
0.00023726,6.1739e-12,6.8359e-12,0.046526,1,5.6552e-06,0.01,4.1e-06,8.895e-06
0.00024489,6.3561e-12,7.1358e-12,0.046526,1,5.7931e-06,0.01,4.2e-06,8.99e-06
0.00025262,6.5398e-12,7.4421e-12,0.046526,1,5.931e-06,0.01,4.3e-06,9.085e-06
0.00026043,6.725e-12,7.7547e-12,0.046526,1,6.069e-06,0.01,4.4e-06,9.18e-06
0.00026833,6.9116e-12,8.0737e-12,0.046526,1,6.2069e-06,0.01,4.5e-06,9.275e-06
0.00027632,7.0998e-12,8.399e-12,0.046526,1,6.3448e-06,0.01,4.6e-06,9.37e-06
0.0002844,7.2895e-12,8.7307e-12,0.046526,1,6.4828e-06,0.01,4.7e-06,9.465e-06
0.00029257,7.4807e-12,9.0686e-12,0.046526,1,6.6207e-06,0.01,4.8e-06,9.56e-06
0.00030082,7.6734e-12,9.413e-12,0.046526,1,6.7586e-06,0.01,4.9e-06,9.655e-06
0.00030916,7.8676e-12,9.7637e-12,0.046526,1,6.8966e-06,0.01,5e-06,9.75e-06
0.00031759,8.0633e-12,1.0121e-11,0.046526,1,7.0345e-06,0.01,5.1e-06,9.845e-06
0.00032611,8.2605e-12,1.0484e-11,0.046526,1,7.1724e-06,0.01,5.2e-06,9.94e-06
0.00033472,8.4592e-12,1.0854e-11,0.046526,1,7.3104e-06,0.01,5.3e-06,1.0035e-05
0.00034341,8.6594e-12,1.123e-11,0.046526,1,7.4483e-06,0.01,5.4e-06,1.013e-05
0.00035219,8.8611e-12,1.1612e-11,0.046526,1,7.5862e-06,0.01,5.5e-06,1.0225e-05
0.00036106,9.0643e-12,1.2001e-11,0.046526,1,7.7241e-06,0.01,5.6e-06,1.032e-05
0.00037002,9.2691e-12,1.2396e-11,0.046526,1,7.8621e-06,0.01,5.7e-06,1.0415e-05
0.00037907,9.4753e-12,1.2797e-11,0.046526,1,8e-06,0.01,5.8e-06,1.051e-05
0.00038821,9.683e-12,1.3205e-11,0.046526,1,8.1379e-06,0.01,5.9e-06,1.0605e-05
0.00039743,9.8922e-12,1.3619e-11,0.046526,1,8.2759e-06,0.01,6e-06,1.07e-05
0.00040674,1.0103e-11,1.404e-11,0.046526,1,8.4138e-06,0.01,6.1e-06,1.0795e-05
0.00041614,1.0315e-11,1.4467e-11,0.046526,1,8.5517e-06,0.01,6.2e-06,1.089e-05
0.00042563,1.0529e-11,1.49e-11,0.046526,1,8.6897e-06,0.01,6.3e-06,1.0985e-05
0.0004352,1.0744e-11,1.5339e-11,0.046526,1,8.8276e-06,0.01,6.4e-06,1.108e-05
0.00044487,1.0961e-11,1.5785e-11,0.046526,1,8.9655e-06,0.01,6.5e-06,1.1175e-05
0.00045462,1.1179e-11,1.6237e-11,0.046526,1,9.1035e-06,0.01,6.6e-06,1.127e-05
0.00046446,1.1399e-11,1.6696e-11,0.046526,1,9.2414e-06,0.01,6.7e-06,1.1365e-05
0.00047439,1.162e-11,1.716e-11,0.046526,1,9.3793e-06,0.01,6.8e-06,1.146e-05
0.0004844,1.1843e-11,1.7632e-11,0.046526,1,9.5172e-06,0.01,6.9e-06,1.1555e-05
0.00049451,1.2067e-11,1.8109e-11,0.046526,1,9.6552e-06,0.01,7e-06,1.165e-05
0.0005047,1.2293e-11,1.8593e-11,0.046526,1,9.7931e-06,0.01,7.1e-06,1.1745e-05
0.00051378,1.2567e-11,1.9028e-11,0.046526,1,9.931e-06,0.01,7.2e-06,1.184e-05
0.00052205,1.2876e-11,1.9426e-11,0.046526,1,1.0069e-05,0.01,7.3e-06,1.1935e-05
0.00053038,1.3186e-11,1.9827e-11,0.046526,1,1.0207e-05,0.01,7.4e-06,1.203e-05
0.00053878,1.3497e-11,2.0231e-11,0.046526,1,1.0345e-05,0.01,7.5e-06,1.2125e-05
0.00054726,1.381e-11,2.0638e-11,0.046526,1,1.0483e-05,0.01,7.6e-06,1.222e-05
0.0005558,1.4123e-11,2.1048e-11,0.046526,1,1.0621e-05,0.01,7.7e-06,1.2315e-05
0.00056442,1.4437e-11,2.1461e-11,0.046526,1,1.0759e-05,0.01,7.8e-06,1.241e-05
0.0005731,1.4753e-11,2.1877e-11,0.046526,1,1.0897e-05,0.01,7.9e-06,1.2505e-05
0.00058186,1.5069e-11,2.2297e-11,0.046526,1,1.1034e-05,0.01,8e-06,1.26e-05
0.00059069,1.5387e-11,2.2719e-11,0.046526,1,1.1172e-05,0.01,8.1e-06,1.2695e-05
0.00059959,1.5705e-11,2.3145e-11,0.046526,1,1.131e-05,0.01,8.2e-06,1.279e-05
0.00060856,1.6025e-11,2.3574e-11,0.046526,1,1.1448e-05,0.01,8.3e-06,1.2885e-05
0.0006176,1.6345e-11,2.4006e-11,0.046526,1,1.1586e-05,0.01,8.4e-06,1.298e-05
0.00062671,1.6667e-11,2.4441e-11,0.046526,1,1.1724e-05,0.01,8.5e-06,1.3075e-05
0.00063589,1.699e-11,2.4879e-11,0.046526,1,1.1862e-05,0.01,8.6e-06,1.317e-05
0.00064514,1.7314e-11,2.532e-11,0.046526,1,1.2e-05,0.01,8.7e-06,1.3265e-05
